class	date	contents	state	link
International	2019	Hangsik Shin, Deuk Yong Lee, Yonghyeon Yun, “Design of Strip-type Force Sensor Interfacing Circuit for Body Movement during Sleep Study.” 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society(EMBC'19),Berlin, Germany, 23-27 Jul 2019. 	complete	
International	2018	Yoon La Yang, Hyeon Seok Seok and Hangsik Shin, “Investigation of the feasibility of postoperative pain assessment using frequency analysis of photoplethysmogram variability.” World Congress on Medical Physics & Biomedical Engineering (IUPESM 2018), Prague, Czech Republic, 3-8 Jun 2018. 	complete	
International	2018	Sangjin Han and Hangsik Shin, “Assessment of similarity between finger and wrist PPG.” World Congress on Medical Physics & Biomedical Engineering (IUPESM 2018), Prague, Czech Republic, 3-8 Jun, 2018. 	complete	
International	2018	Sangjin Han and Hangsik Shin, “Investigation of Arterial Property Changes based on Blood Pressure Waveform and Photoplethysmogram.” 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’18), Honolulu, USA, 17-21 Jul, 2018. 	complete	
International	2018	Sunhyung Jung, Yewon Kang, Duek Yong Lee, Hangsik Shin and Yonghyeon Yun “Development of Microphone Preamplifier for Recording Hearts Sound of Esophageal Stethoscope.” 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’18),Honolulu, USA, 17-21 Jul 2018. 	complete	
International	2018	Seung Bin Choi, Hyeon Seok Seok and Hangsik Shin, “Preliminary Study of Postoperative Pain Assessment based on Pulse Rate Variability: Investigation of the Pulse Rate Variability Changes in Postoperative Condition.” SMIT 2018- IBEC 2018 Joint Conference,Seoul, Republic of Korea, 8-10 Nov 2018. 	complete	
International	2018	Hyeon Seok Seok, Sangjin Han, Junyeong Park, Donggeun Roh and Hangsik Shin, “A New Pulse Quality Assessment Method for Photoplethysmogram based on Similliarity Analysis.” 10th International Conference on Soft Computing and Intelligent Systems and 19th International Symposium on Advanced Intelligent Systems(SCIS&ISIS 2018), Toyama, Japan, 5-8 Dec 2018. 	complete	
International	2017	Hyeon Seok Seok, Yoon La Yang and Hangsik Shin, “Postoperative Pain Assessment based on Photoplethysmography Analysis.” the 18th International Symposium on Advanced Intelligent Systems, 2017 EXCO in Daegu, Republic of Korea,11-14 Oct, 2017. 	complete	
International	2017	Sooji Park and Hangsik Shin, “Feasibility Test of Strip-type Unconstrained Sleep Monitoring System with Polysomnography.” 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’17), International Convention Center (ICC), Jeju Island, Republic of Korea, 11-15 Jul 2017. 	complete	
International	2017	Yoon La Yang and Hangsik Shin, “Investigation of the Photoplethysmography Waveform according to the Nociceptive Pain.” 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’17), International Convention Center (ICC), Jeju Island, Republic of Korea, 11-15 Jul 2017. 	complete	
International	2017	Hyeon Seok Seok and Hangsik Shin, “Investigation of Photoplethysmography AC Component Variation Before and After Surgery.” 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’17), International Convention Center (ICC), Jeju Island, Republic of Korea, 11-15 Jul 2017. 	complete	
International	2017	Jun Seok Lee, Sooji Park and Hangsik Shin, “Detection of Hemiplegic Gait Using 6-axis Inertial Sensor.” 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’17), International Convention Center (ICC), Jeju Island, Republic of Korea, 11-15 Jul 2017. 	complete	
International	2017	Sangjin Han and Hangsik Shin, “Effect of Low Sampling Rate on the First Derivative of the PPG Waveform.” 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’17), International Convention Center (ICC), Jeju Island, Republic of Korea, 11-15 Jul 2017. 	complete	
International	2017	Sooji Park, Jun Seok Lee, Jaekyung Kwak and Hangsik Shin, “Design of the Wearable Device for Hemiplegic Gait Detection Using an Accelerometer and a Gyroscope.” 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’17), International Convention Center (ICC), Jeju Island, Republic of Korea, 11-15 Jul 2017. 	complete	
International	2016	Hangsik Shin, “An Investigation of the Time Domain Analysis of Ultra-Short Term Heart Rate Variability in Resting Condition.” 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society(EMBC 2016), Disney's Contemporary Resort, Orlando, USA, Aug 2016. 	complete	
International	2016	Hangsik Shin, “Feature Location Restoration for Under-Sampled Photoplethysmogram Using Spline Interpolation.” 18th International Conference on Medical Physics and Biomedical Engineering, Zurich, Switzerland, Jul 2016. 	complete	
International	2016	Hangsik Shin, Yong-Hun Lee, Ji-Yeon Bang, Byung-Moon Choi and Gyu-Jeong Noh, “Time Domain Analysis of Heart Rate Variability for Nociceptive Pain Assessment.” 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society(EMBC 2016), Disney's Contemporary Resort, Orlando, USA, Aug 2016. 	complete	
International	2016	Sooji Park, Hoon Kim and Hangsik Shin, “Feasibility Study of Respiration Monitoring based on Strip-Type Force Sensing Platform in Various Lying Positions.” 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society(EMBC 2016), Disney's Contemporary Resort, Orlando, USA, Aug 2016. 	complete	
International	2016	Yang Yoon La and Hangsik Shin, “An Investigation of the Effect of Sampling Frequency to the Frequency Domain Analysis of Pulse Rate Variability.” 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society(EMBC 2016), Disney's Contemporary Resort, Orlando, USA, Aug 2016. 	complete	
International	2016	Yoon La Yang, Hyun Suk Seok and Hangsik Shin, “Development of Mastication Monitoring System for Assessment of the Mandibular Asymmetry.” International Biomedical Engineering Conference 2016 (IBEC2016), Seoul, Republic of Korea, Nov 2016. 	complete	
International	2016	Hangsik Shin, “What sampling rate would be necessary to analyze of differentiated photoplethysmographic waveform morphologically?.” International Biomedical Engineering Conference 2016 (IBEC2016), Seoul, Republic of Korea, Nov 2016. 	complete	
International	2016	Hangsik Shin, Hwa Young Jung and Se Dong Min, “Preliminary Study for Biometric based on Gait Pattern Analysis Using Insole-Type Force Sensor.” Joint 8th International Conference on Soft Computing and Intelligent Systems and 17th International Symposium on Advanced Intelligent Systems, Sapporo, Japan, Aug 2016. 	complete	
International	2015	Dong-Jun Kim, Hyun-Min Lee, Jeong-Whan Lee, Hangsik Shin, “Pulse Wave Pitch Detection Technique and Its Application to Human Sensibility Evaluation.” 2015 International Conference on Mechatronics and Information Technology, Delpino Resort, Goseong, Republic of Korea, Dec 2015. 	complete	
International	2015	Hangsik Shin and Yoon La Yang, “An Effect of the Sampling Frequency to the Pulse Rate Variability Analysis.” International Conference of Biomedical Engineering, Gyungju, Republic of Korea, Nov 2015. 	complete	
International	2015	Hangsik Shin and Sooji Park, “Relationship between the Maximum Systolic Location of Photoplethysmography Waveform and Sampling Frequency.” International Conference of Biomedical Engineering, Gyungju, Republic of Korea, Nov 2015. 	complete	
International	2015	Sooji Park, Hangsik Shin, “Feasibility Study of the Respiration Monitoring based on Acceleration and Pressure Measurement Inside Pillow.” Engineering in Medicine and Biology Society, 37th Annual International Conference of the IEEE(EMBS 2015), Milano, Italy, Aug 2015. 	complete	
International	2014	Hangsik Shin, Kwanghyun Kim, Jeawon Son and Miri Kim, “Preliminary Study for Driver’s Posture Correction Support System Based on Seat-Embedded Pressure Sensing Platform.” The 6th FTRA International Conference on Computer Science and its Applications(CSA 2014), Gaum, USA, 17-20 Dec 2014. 	complete	
International	2014	Hangsik Shin, Hwajin Choi and Sooji Park, “Unconstrained Continuous Infants Monitoring System Based on Mattress-Type Force Sensing Platform: A Pilot Study.” The 6th FTRA International Conference on Computer Science and its Applications(CSA 2014), Gaum,USA, 17-20 Dec 2014. 	complete	
International	2014	Sooji Park, Hwajin Choi, Yoon La Yang, Soo Kyung Han, Min-A Kim and Hangsik Shin, “Multiple Sensor Positioning for Mattress Type Infant Heartbeat and Respiration Monitoring System.” International Biomedical Engineering Conference 2014 (IBEC2014), Gwangju, Republic of Korea, 20 Nov 2014. 	complete	
International	2014	Sangjin Han, Jaewon Son, Miri Kim and Hangsik Shin, “Preliminary Study for Posture Monitoring in Driving Condition Using Piezoresistive Film-based Force Sensor.” International Biomedical Engineering Conference 2014 (IBEC2014), Gwangju,Republic of Korea, 20 Nov 2014. 	complete	
International	2014	Hangsik Shin, Wangrim Choi, Yui-Gon Kim, Jaegeol Cho, “Preliminary Study for the Personal Handheld Device Based Snoring Detection in Ordinary Sleep Situation.” Engineering in Medicine and Biology Society, 2014 IEEE-EMBS 36th Annual International Conference of the IEEE, Chicago, USA, Aug 2014. 	complete	
International	2012	Yong Hyeon Yun, Eun Bo Shim, Hangsik Shin, Jae Hyung Park and Hui-Nam Pak, “Spatial Distribution of Wavebreak, Phase Singularity, Dominant Frequency, and Complex Fractionated Electrograms During Fibrillation: Quantitative Analysis by Simulation Modeling.” Journal of Arrhythmia, 28 (Supplement), 520, 5 Oct 2012. 	complete	
International	2012	Hangsik Shin, Yong Hyeon Yun, Eun Bo Shim and Hui-Nam Pak, “Application of Arrhythmia Simulation Modeling on Catheter Ablation of Fibrillation.” Journal of Arrhythmia, 28 (Supplement), 271, Oct 4, 2012. 	complete	
International	2009	Chungkeun Lee, Hangsik Shin, Se Dong Min and Myoungho Lee, “A Study on Comparison PPG Variability with Heart Rate Variability in the Sitting Position During Paced Respiration.” International Union for Physical and Engineering Sciences in Medicine IFMBE Proceedings, 1703-1705, Jan 2009. 	complete	
International	2009	Hangsik Shin, Chungkeun Lee, Yong Hyeon Yun, Youngbum Lee and Myoungho Lee, “Verification of Spectrum Analysis for Finger Plethysmography Based on Standing Wave and Harmonics.” International Union for Physical and Engineering Sciences in Medicine IFMBE Proceedings, 205-208, Jan 2009. 	complete	
International	2007	Jinkwon Kim, Hangsik Shin, Youngbum Lee and Myoungho Lee, “Algorithm for classifying arrhythmia using Extreme Learning Machine and principal component analysis.” Engineering in Medicine and Biology Society, 2007 EMBS 29th Annual International Conference of the IEEE Proceeding, 3257-3260, Aug 2007. 	complete	
International	2007	Myung-suk Choi, Sang-won Lee, Jong-chul Kim, Jun-dong Cho, Jinkwon Kim, Hangsik Shin, Myoungho Lee, Uusun. Cho and Jaesuk Kim, “Implantable Bio system design for displacement measurement of living life.” In: Advanced Communication Technology, The 9th International Conference on, IEEE Proceeding, 299-304, Dec 2007. 	complete	
International	2007	Sung Won Yoon, Hangsik Shin, Se Dong Min and Myoungho Lee, “Medical Endoscopic Image Segmentation with Multi-resolution Deformation e-Health Networking.” Application and Services, 2007 9th International Conference on Proceeding, 256-259, Jan 2007. 	complete	
International	2006	Chungkeun Lee, Yong Ho Kim, Hangsik Shin, Yong Jun Kim and Myoungho Lee, “Measurement of Compound Neural Action Potential in Sciatic Nerve Using Microelectrode Array.” Engineering in Medicine and Biology Society, 2006 EMBS 28th Annual International Conference of the IEEE Proceeding, 3002-3004, Aug 2006. 	complete	
International	2006	Hangsik Shin, Chungkeun Lee, Benjamin Youngmin Choo and Myoungho Lee, “Time-frequency analysis for arrhythmia discrimination using human atrium electrogram.” Engineering in Medicine and Biology Society, 2006 EMBS 28th Annual International Conference of the IEEE Proceeding, 1690-1693, Aug 2006. 	complete	
International	2006	Hangsik Shin, Chungkeun Lee, Jinkwon Kim and Myoungho Lee, “Development of Arrhythmia Diagnosis Algorithm for Effective Control of Antitachycardia Pacing and High Energy Shock of ICD.” Engineering in Medicine and Biology Society, EMBS '06. 28th Annual International Conference of the IEEE Proceeding, 4366-4369, Aug 2006. 	complete	
International	2006	Hangsik Shin, Chungkeun Lee and Myoungho Lee, “Principal Point Discrimination of Electrocardiogram for Automatic Diagnosis.” World Congress on Medical Physics and Biomedical Engineering Proceeding, 1087-1090, Aug 2006. 	complete	
International	2006	Hangsik Shin, Chungkeun Lee, Jinkwon Kim and Myoungho Lee, “Low complexity and power consumption design for pacemaker using shared MAC structure based on FPGA platform.” World Congress on Medical Physics and Biomedical Engineering Proceeding, 1203-1205, Aug 2006. 	complete	
International	2005	Hangsik Shin, Chungkeun Lee, Myoungho Lee, “Characteristic Analysis of Electric Textile Sensor using Heart Rate Variability.” 3rd European Medical and Biological Engineering Conference EMBEC Proceeding, Nov 2005. 	complete	
International	2005	Hangsik Shin, Chungkeun Lee, Sung Won Yoon, Dae Joong Yoon and Myoungho Lee, “Heart Rate Variability Analysis using Electric Fabric in Dry-Normal Condition.” 27th Annual International Conference of the Engineering in Medicine and Biology Society(IEEEEMBS 2005), 3563-3566, Sep 2005. 	complete	
International	2005	Hangsik Shin, Chungkeun Lee, Yong Hyeon Yun and Myoungho Lee, “Heart Rate Variability Analysis for Significance Between Ag/AgCl Electrode and Electric Textile Sensor in Wearable Condition.” 20th International Conference on Control, Automation and Systems(ICCAS2005), 453-456, Jun 2005. 	complete	
International	2005	Hangsik Shin, Yong Hyeon Yun, Seong Pyo Lee, Myoungho Lee, “A Study on Instant Messenger System that Supports Transmitting 3D Medical Image Objects for Telediagnostic Use.” 6th Asian-Pacific Conference on Medical and Biological Engineering(APCMBE2005), Apr 2005. 	complete	
International	2005	Hangsik Shin, Sung Won Yoon, Jae-Young Kim, Myoungho Lee, “A Study of the Down-Scaled 3D Objects for Telediagnostic Imaging Support System.” 6th Asian-Pacific Conference on Medical and Biological Engineering(APCMBE2005), Apr 2005. 	complete	
International	2005	Myoungho Lee, Sung Won Yoon, Se Dong Min, Chan Ouk Park, Hangsik Shin, Hyungu Kang, Hunbeom Chang and Eunho Lee, “Perspectives on e-health industry in Korea Enterprise networking and Computing in Healthcare Industry.” 2005, HEALTHCOM 2005, Proceedings of 7th International Workshop on Proceeding, 106-112, Jan 2005. 	complete	
Domestic	2024	Jiwon You, Sollip Kim, Woochang Lee, Sail Chun and Hangsik Shin, “Types and Frequencies of Errors in Clinical Chemistry Tests at the University Hospital Clinical Laboratory.” 2024 Korean Society of Medical Informatics (KOSMI) Conference, Seoul, Republic of Korea, 19-21 June 2024. 	complete	
Domestic	2024	Changwon Wang, Hamin Lim, Sung Woo Joo, Jungsun Lee, Hangsik Shin, “Development of a Location Monitoring Platform for Inpatients within Closed Psychiatric Ward.” 2024 Korean Society of Medical Informatics (KOSMI) Conference, Seoul, Republic of Korea, 19-21 June 2024. 	complete	
Domestic	2024	Gayeon Ryu, Hyeon Seok Seok, Byung-Moon Choi, Jae Moon Choi, Hangsik Shin, “Photoplethysmogram Features for Severity Assessment of Postoperative Pain.” The 63th Korea Society of Medical and Biological Engineering Spring Conference 2024, Wonju, Republic of Korea, 9-11 May 2024. 	complete	
Domestic	2024	Changwon Wang, Hangsik Shin, “Identifying Key Physical Function Indicators for Pre-Frailty.” The 63th Korea Society of Medical and Biological Engineering Spring Conference 2024, Wonju, Republic of Korea, 9-11 May 2024. 	complete	
Domestic	2024	Hamin Lim, Hangsik Shin, “Gravity Compensation of Accelerometer with Madgwick Filter-Based Quaternion Rotation.”  The 63th Korea Society of Medical and Biological Engineering Spring Conference 2024, Wonju, Republic of Korea, 9-11 May 2024. 	complete	
Domestic	2023	Jaehyung Lee, Oh-Seok Kwon, Hangsik Shin, Hui-Nam Pak, “Graph Neural Network-Based Atrial Fibrillation Recurrence Prediction Using Left Atrial Three-Dimensional Anatomical and Physiology Characteristics.” 9th International Biomedical Engineering Conference IBEC 2023, Hana Square of The Korea University, Seoul, Republic of Korea, 09-11 Nov 2023. 	complete	
Domestic	2023	Ga Yeon Ryu, Hyeon Seok Seok, Hangsik Shin, Byung-Moon Choi and Jae Moon Choi, “Analysis of a surgical pain severity assessment feature based on photoplethysmogram.” The 54th KIEE Summer Conference 2023, Yongpyong Resort, Pyeongchang, Republic of Korea, 12-15 Jul 2023. 	complete	
Domestic	2023	Gayeon Ryu, Hyeon Seok Seok, Byung-Moon Choi, Jae Moon Choi, Hangsik Shin, “Photoplethysmogram based on Surgical Pain Severity Assessment Feature Analysis.” 9th International Biomedical Engineering Conference IBEC 2023, Hana Square of The Korea University, Seoul, Republic of Korea, 09-11 Nov 2023. 	complete	
Domestic	2023	Hyeon Seok Seok, Ga Yeon Ryu, Hangsik Shin, Jae Moon Choi and Byung-Moon Choi, “Development of an artificial intelligence model for both intra- and post- operative pain assessment.” The Korean Society for Anesthetic Pharmacology(KSAP) 2023, SETEC Convention Center, Seoul, Republic of Korea, 15 Apr 2023. 	complete	
Domestic	2023	Ga Yeon Ryu, Hyeon Seok Seok, Hangsik Shin, Byung-Moon Choi and Jae Moon Choi, “Development of photopleyhsmogram based feature for intra- and post-operative pain.” KOSOMBE spring conference 2023, KMEDIhub, Daegu, Republic of Korea, 11-13 May 2023. 	complete	
Domestic	2023	Jaehyung Lee, Hyeon Seok Seok, Oh-Seok Kwon, Hui-Nam Pak and Hangsik Shin, “The Impact of Regularization Techniques on Convolutional Neural Network-based Genomic Study.” KOSOMBE spring conference 2023, KMEDIhub, Daegu, Republic of Korea, 11-13 May 2023. 	complete	
Domestic	2023	Changwon Wang, Hamin Lim, Sung Woo Joo, Jungsun Lee and Hangsik Shin, “Analysis of psychiatric inpatients' abnormal behavior prior to self-harm or harm to others through nursing diary records.” KOSOMBE spring conference 2023, KMEDIhub, Daegu, Republic of Korea, 11-13 May 2023. 	complete	
Domestic	2023	Changwon Wang, Geunho Bang, KwanKon Ryu, Jeongyeon Hwang, Ahyoung Choi and Hangsik Shin, “Development of a Real-time Abnormal Heart rate and Physical activity Platform Using Wearable Watches for Monitoring Psychiatric Inpatients.” The 54th KIEE Summer Conference 2023, Yongpyong Resort, Pyeongchang, Republic of Korea, 12-15 Jul 2023. 	complete	
Domestic	2023	Hyeon Seok Seok, Oh-Seok Kwon, Hui-Nam Pak and Hangsik Shin, “Assessment of Atrial Fibrillation Recurrence Risk Using an Artificial Intelligence Model Based on Multiview Cardiac Images.” The 54th KIEE Summer Conference 2023, Yongpyong Resort, Pyeongchang, Republic of Korea, 12-15 Jul 2023. 	complete	
Domestic	2023	Jaehyung Lee, Hyeon Seok Seok, Oh-Seok Kwon, Hui-Nam Pak and Hangsik Shin, “Analyzing the Performance of a Convolutional Neural Network-based Atrial Fibrillation Classifier According to the Genetic Screening Thresholds.” The 54th KIEE Summer Conference 2023, Yongpyong Resort, Pyeongchang, Republic of Korea, 12-15 Jul 2023. 	complete	
Domestic	2023	Hamin Lim, Changwon Wang and Hangsik Shin, “Preliminary Study for the Optimal Attachment Position of Accelerometer for Detecting Abnormal Behavior of Psychiatric Inpatient.” The 54th KIEE Summer Conference 2023, Yongpyong Resort, Pyeongchang, Republic of Korea, 12-15 Jul 2023. 	complete	
Domestic	2023	Ji Hyeun Park, Chungkeun Lee, Hangsik Shin, “Standard Specifications for Testing of U.S. FDA-Cleared Home Sleep Apnea Testing Device.” 9th International Biomedical Engineering Conference IBEC 2023, Hana Square of The Korea University ,Seoul, Republic of Korea, 23-25 Oct 2023. 	complete	
Domestic	2023	Changwon Wang, Hamin Lim, Seungmin Jeong, Ye Eun Kon, A Hyun Jung, Ji Hee Choi, Se Dong Min, Hangsik Shin, “Implementation of a Real-time Location and Abnormal Situation Alarm Platform for Inpatients in a Psychiatric ward Using a Galaxy Watch.” CICS'23 Conference on Information and Control Systems, SAINTJOHNS HOTEL, Kangwon, Republic of Korea, 23-25 Oct 2023. 	complete	
Domestic	2023	Hyoen Seok Seok, Sollip Kim, Hangsik Shin, “Performance Analysis of Diagnostic Test Error Detection Using Artificial Intelligence in Class Imbalance Scenarios.” CICS'23 Conference on Information and Control Systems, SAINTJOHNS HOTEL, Kangwon, Republic of Korea, 09-11 Nov 2023. 	complete	
Domestic	2023	Changwon Wang, Hangsik Shin, “Development of an Emotional State Prediction Model Using Acceleration Signal, Heart rate, Electrodermal Activity, and Emotional Questionnaires.” 9th International Biomedical Engineering Conference IBEC 2023, Hana Square of The Korea University, Seoul, Republic of Korea, 09-11 Nov 2023. 	complete	
Domestic	2023	Hyeon Seok Seok, Sollip Kim, Hangsik Shin, “Deep Learning for Tumor Marker Misidentification Error Detection: inter-center model performance comparison.” 9th International Biomedical Engineering Conference IBEC 2023, Hana Square of The Korea University,Seoul, Republic of Korea, 09-11 Nov 2023. 	complete	
Domestic	2022	Jaehyung Lee, Changwon Wang, Hyeon Seok Seok, Oh-Seok Kwon, Hui-Nam Pak and Hangsik Shin, “GenomeWide Association Studies and Electronic Medical Record based Atrial Fibrillation Discriminat ion Using Ensemble Models.” Conference on Information and Control Systems 2022(CICS), Alpensia Resort, Pyeongchang, Republic of Korea, 19-22 Oct 2022. 	complete	
Domestic	2022	Hangsik Shin, “Exploration of Intertial Signal Frequency Range of Normal Gait.” Bio-Medical System Conference 2022, Yongpyong Resort, Pyeongchang, Republic of Korea, 17 Jan 2022. 	complete	
Domestic	2022	Hyeon Seok Seok and Hangsik Shin, “Atrial Fibrillation Patients Assessment Based on One-Dimensional Convolutional Neural Network Using Short-term Electrocardiogram.” The 53th KIEE Summer Conference 2022, Expo Convention Center, Yeosu, Republic of Korea, 13-16 July 2022. 	complete	
Domestic	2022	Changwon Wang, Hyeon Seok Seok and Hangsik Shin, “Evaluation of Convolution Neural Network classifier compatibility for Non-Sequential Data Input.” The 53th KIEE Summer Conference 2022, Expo Convention Center, Yeosu, Republic of Korea, 13-16 July 2022. 	complete	
Domestic	2022	Changwon Wang and Hangsik Shin, “Preliminary Study for CNN Hyperparameter Optimization for Non-Sequential Input Data.” Conference on Information and Control Systems 2022(CICS), Alpensia Resort, Pyeongchang, Republic of Korea, 19-22 Oct 2022. 	complete	
Domestic	2022	Jaehyung Lee, Changwon Wang, Hyeon Seok Seok, Oh-Seok Kwon, Hui-Nam Pak and Hangsik Shin, “GWASbased Atrial Fibrillation Identification Using DCNN.” KOSOMBE autumn conference 2022, Paradise city Hotel, Incheon, Republic of Korea, 3-5 Nov 2022. 	complete	
Domestic	2022	Ga Yeon Ryu, Hyeon Seok Seok, Changwon Wang, Byung-Moon Choi, Jae Moon Choi and Hangsik Shin, “Comparison of Photoplethysmogram Feature for Intraoperative Pain and Postoperative Pain.” Conference on Information and Control Systems 2022(CICS), Alpensia Resort, Pyeongchang, Republic of Korea, 19-22 Oct 2022. 	complete	
Domestic	2022	Hyeon Seok Seok and Hangsik Shin, “Electrocardiogram Waveform based Aging Assessment Using Convolutional Neural Network.” Conference on Information and Control Systems 2022(CICS), Alpensia Resort, Pyeongchang, Republic of Korea, 19-22 Oct 2022. 	complete	
Domestic	2022	Ga Yeon Ryu, Hyeon Seok Seok, Changwon Wang, Byung-Moon Choi, Jae Moon Choi and Hangsik Shin, “Photoplethysmogram Feature Analysis for Surgical Pain Assessment.” KOSOMBE autumn conference 2022, Paradise city Hotel, Incheon, Republic of Korea, 3-5 Nov 2022. 	complete	
Domestic	2022	Changwon Wang and Hangsik Shin, “Evaluation of classification performance for the non-sequential input data of convolution neural network classifier according to the effect size.” KOSOMBE autumn conference 2022, Paradise city Hotel, Incheon, Republic of Korea, 3-5 Nov 2022. 	complete	
Domestic	2021	Junyung Park and Hangsik Shin, “Vascular aging estimation based on artificial neural network using photoplethysmogram.” The 52th KIEE Summer Conference 2021, Yongpyong Resort, Pyeongchang, Republic of Korea, 14-17 Jul 2021. 	complete	
Domestic	2021	Hyeon Seok Seok and Hangsik Shin, “Investigation of changes in ANS activity through PPG morphological changes according to emotional video stimulation.” The 52th KIEE Summer Conference 2021, Yongpyong Resort, Pyeongchang, Republic of Korea, 14-17 Jul 2021. 	complete	
Domestic	2021	Junyung Park and Hangsik Shin, “Blood pressure estimation based on CNN regression model using multiwavelength photoplethysmogram.” The 57th Korea Society of Medical and Biological Engineering Spring Conference 2021, Online, 12-14 May 2021. 	complete	
Domestic	2021	Hyeon Seok Seok and Hangsik Shin, “Autonomic Balance Changes of the Chronic Pains According to the Emotional Stimulation.” The 57th Korea Society of Medical and Biological Engineering Spring Conference 2021, Online, 12-14 May 2021. 	complete	
Domestic	2021	Danbi Kwon, Hyeon Seok Seok, Joo-Hee Kwon, Sang-Su Kim, Songhyup Kang, Do-Won Kim, Jihoon Kang and Hangsik Shin, “An Evaluation of Emotion Induced by Static and Dynamic Audio-Visual Stimulation.” Proceedings of Korean Institute of Intelligent Systems Sping Conference 2021, 23-24 Apr 2021. 	complete	
Domestic	2020	Hyeon Seok Seok and Hangsik Shin, “MATLAB GUI for Feature Detection of Electrocardiogram and Photoplethysmogram.” The 51st KIEE Summer Conference 2020, Bexco, Busan, Republic of Korea, 15-17 Jul 2020. 	complete	
Domestic	2020	Junyung Park and Hangsik Shin, “Age-related change of photoplethysmographic reflective and stiffness index.” The 51st KIEE Summer Conference 2020, Bexco, Busan, Republic of Korea, 15-17 Jul 2020. 	complete	
Domestic	2020	Danbi Gwon and Hangsik Shin, “Development of Mask Attachable Respiration Monitoring System.” The 51st KIEE Summer Conference 2020, Bexco, Busan, Republic of Korea, 15-17 Jul 2020. 	complete	
